URL,Filesize,Number of Outgoing links,Content type
http://www.latimes.com/politics/washington/la-na-essential-washington-updates-white-house-has-found-ways-to-end-1487285413-htmlstory.html,160393,51,text/html;charset=UTF-8
http://www.latimes.com/la-bio-melissa-healy-staff.html,124543,53,text/html;charset=UTF-8
http://www.latimes.com/science/sciencenow/la-sci-sn-deep-sea-pollution-20170215-story.html,239575,79,text/html;charset=UTF-8
http://www.latimes.com/entertainment/movies/la-et-mn-oscars-mahershala-ali-janelle-monae-moonlight-hidden-figures-20170219-htmlstory.html,195657,48,text/html;charset=UTF-8
http://www.latimes.com/politics/la-na-trump-tweets-2017-htmlstory.html,347974,282,text/html;charset=UTF-8
http://www.latimes.com/science/sciencenow/la-sci-sn-mit-president-qa-20170210-story_amp.html,60906,31,text/html;charset=UTF-8
http://www.latimes.com/politics/la-pol-ca-bernie-sanders-event-20170219-story_amp.html,53052,25,text/html;charset=UTF-8
http://www.latimes.com/visuals/framework/,260105,86,text/html;charset=UTF-8
http://www.latimes.com/opinion/op-ed/,252352,82,text/html;charset=UTF-8
http://www.latimes.com/local/moments/la-me-scm-urban-adventures-20160104-story.html,172944,56,text/html;charset=UTF-8
http://www.latimes.com/topic/san-diego-county/san-diego-beaches-SDCT0020-topic.html,83045,49,text/html;charset=UTF-8
http://www.latimes.com/local/moments/la-me-scm-century-city-fountain-20160119-story.html,172618,56,text/html;charset=UTF-8
http://www.latimes.com/politics/la-na-pol-trump-epa-pruitt-20180217-story.html,229012,85,text/html;charset=UTF-8
http://www.latimes.com/local/lanow/la-me-tom-hayden-ucla-memorial-20170217-story.html,242448,75,text/html;charset=UTF-8
http://www.latimes.com/politics/la-na-trailguide-bernie-sanders-strolls-around-echo-park-1465079586-htmlstory.html,150967,69,text/html;charset=UTF-8
http://www.latimes.com/topic/education/colleges-universities/uc-berkeley-OREDU00000197-topic.html,185582,106,text/html;charset=UTF-8
http://www.latimes.com/business/,363798,168,text/html;charset=UTF-8
http://www.latimes.com/world/latest/,288539,101,text/html;charset=UTF-8
http://www.latimes.com/health/la-he-mark-feuerstein-20161227-story.html,225232,64,text/html;charset=UTF-8
http://www.latimes.com/science/sciencenow/la-sci-sn-crispr-cas-9-20151218-story.html,188317,70,text/html;charset=UTF-8
http://www.latimes.com/entertainment/movies/la-et-mn-indie-focus-xx-kedi-20170217-story.html,188038,73,text/html;charset=UTF-8
http://www.latimes.com/opinion/op-ed/la-oe-medoff-executive-order9066-internment-fdr-20170219-htmlstory.html,128159,44,text/html;charset=UTF-8
http://www.latimes.com/health/la-he-health-roundup-20170208-story.html,220856,64,text/html;charset=UTF-8
http://www.latimes.com/home/la-hm-la-affairs-tom-bartlett-20170215-story.html,234965,62,text/html;charset=UTF-8
http://www.latimes.com/politics/la-na-trailguide-sanders-and-his-celebrity-friends-rally-1465101814-htmlstory.html,149605,68,text/html;charset=UTF-8
http://www.latimes.com/chinese/la-chinese-na-ninth-circuit-travel-ban-2017-story.html,189504,58,text/html;charset=UTF-8
http://www.latimes.com/entertainment/,327572,148,text/html;charset=UTF-8
http://www.latimes.com/local/weather/,223599,81,text/html;charset=UTF-8
http://www.latimes.com/topic/science/environmental-science/130000208-topic.html,171130,89,text/html;charset=UTF-8
http://www.latimes.com/local/lanow/la-me-storm-prep-20170216-htmlstory.html,203787,50,text/html;charset=UTF-8
http://www.latimes.com/local/lanow/la-me-storm-los-angeles-20170217-story.html,295897,92,text/html;charset=UTF-8
http://www.latimes.com/health/la-he-midnight-snacking-20160704-snap-story.html,184871,63,text/html;charset=UTF-8
http://www.latimes.com/business/latest/,298350,103,text/html;charset=UTF-8
http://www.latimes.com/opinion/endorsements/,130393,51,text/html;charset=UTF-8
http://www.latimes.com/sports/more/la-sp-genesis-open-sidebar-20170219-story.html,223941,63,text/html;charset=UTF-8
http://www.latimes.com/fashion/la-ig-la-fashion-shows-20170216-story.html,275213,63,text/html;charset=UTF-8
http://www.latimes.com/travel/deals/la-tr-webbuzz-20170219-story.html,213123,59,text/html;charset=UTF-8
http://www.latimes.com/entertainment/tv/showtracker/la-et-st-bill-maher-milo-interview-20170218-story.html,234574,69,text/html;charset=UTF-8
http://www.latimes.com/health/la-he-sofia-vergara-20160707-snap-story.html,184513,57,text/html;charset=UTF-8
http://www.latimes.com/politics/la-pol-sac-oroville-dam-crisis-change-catalyst-20170217-story.html,258387,73,text/html;charset=UTF-8
http://www.latimes.com/local/lanow/la-me-ln-zika-future-20170130-story.html,238270,91,text/html;charset=UTF-8
